vertex1,vertex2,vertex3,vertex4,nosequeesesto
64,60,141,113,1
85,102,91,144,1
143,144,145,118,1
7,31,6,142,1
135,1,136,14,1
30,40,142,138,1
95,37,92,142,1
62,120,68,138,1
107,138,127,120,1
52,24,42,140,1
143,141,74,140,1
18,67,46,135,1
12,28,138,135,1
42,49,64,140,1
142,138,126,145,1
142,101,122,138,1
57,136,55,90,1
106,112,132,138,1
27,13,36,136,1
53,137,44,66,1
79,143,32,43,1
48,39,29,138,1
7,140,6,33,1
110,83,86,145,1
22,37,142,58,1
18,47,67,135,1
84,135,112,94,1
7,8,140,24,1
36,54,136,137,1
141,143,74,116,1
81,144,86,145,1
123,144,143,118,1
135,61,56,138,1
32,140,143,70,1
143,76,74,116,1
143,98,114,109,1
97,99,95,143,1
136,144,141,85,1
111,126,145,93,1
47,135,18,14,1
19,56,138,28,1
136,144,85,82,1
136,69,141,137,1
64,140,141,60,1
143,43,79,96,1
42,49,140,33,1
88,145,134,129,1
138,19,48,56,1
73,136,38,72,1
138,142,140,139,1
23,6,2,140,1
59,69,45,137,1
139,145,143,144,1
30,138,20,50,1
138,28,12,19,1
142,89,101,65,1
81,82,144,136,1
68,63,40,138,1
46,78,61,135,1
132,127,106,138,1
142,145,126,93,1
21,142,51,31,1
94,67,75,135,1
11,138,10,137,1
141,60,66,113,1
54,69,136,137,1
139,135,145,144,1
143,140,2,142,1
52,140,64,60,1
61,56,138,71,1
48,138,29,19,1
127,138,132,122,1
25,35,10,137,1
108,113,141,133,1
123,144,125,109,1
40,63,51,142,1
61,138,106,107,1
31,22,6,142,1
66,137,44,60,1
144,141,116,143,1
143,144,123,109,1
143,98,79,76,1
141,69,59,137,1
145,84,80,135,1
141,103,59,69,1
130,145,110,144,1
143,76,32,70,1
144,143,116,117,1
82,81,144,86,1
102,128,144,141,1
145,144,130,118,1
142,63,101,138,1
141,136,139,144,1
61,78,106,138,1
95,143,99,96,1
143,43,95,142,1
90,87,57,136,1
136,85,141,87,1
99,118,145,105,1
20,138,39,50,1
40,138,30,50,1
91,102,125,144,1
92,142,89,93,1
114,98,143,76,1
145,105,130,131,1
79,76,32,143,1
143,116,114,76,1
145,118,130,105,1
128,102,144,125,1
119,138,101,63,1
90,104,141,103,1
119,120,127,138,1
101,138,119,127,1
89,142,92,58,1
101,138,127,122,1
142,65,101,63,1
39,138,62,50,1
59,103,141,124,1
99,96,143,100,1
79,98,143,96,1
41,22,31,142,1
45,69,54,137,1
134,111,145,131,1
6,140,23,33,1
98,109,143,100,1
75,47,77,135,1
39,138,48,71,1
85,102,141,87,1
142,93,122,89,1
142,89,122,101,1
142,93,126,122,1
134,129,145,126,1
139,142,145,138,1
139,135,136,137,1
140,137,141,60,1
6,140,7,142,1
97,142,95,92,1
85,144,91,82,1
141,102,85,144,1
2,140,6,142,1
138,139,140,137,1
143,142,97,145,1
95,142,97,143,1
11,19,138,12,1
18,28,13,135,1
30,138,142,8,1
130,144,123,118,1
7,8,21,142,1
143,142,2,43,1
55,27,36,136,1
88,83,121,145,1
51,142,63,65,1
95,43,143,96,1
21,142,40,51,1
35,26,11,137,1
30,8,142,21,1
138,63,40,142,1
143,43,2,32,1
45,26,35,137,1
73,136,135,1,1
70,140,74,49,1
70,49,23,140,1
91,115,86,144,1
125,115,91,144,1
66,137,141,59,1
57,27,55,136,1
12,135,138,137,1
133,104,141,102,1
132,122,138,126,1
