v1,v2,v3,nosequeesesto
14,13,18,3
12,11,19,3
10,9,20,3
8,7,21,3
6,2,22,3
2,6,23,3
7,8,24,3
9,10,25,3
11,12,26,3
13,14,27,3
13,12,28,3
11,10,29,3
9,8,30,3
7,6,31,3
2,23,32,3
6,7,33,3
8,9,34,3
10,11,35,3
12,13,36,3
13,28,18,3
19,11,29,3
20,9,30,3
21,7,31,3
22,2,37,3
23,6,33,3
24,8,34,3
25,10,35,3
26,12,36,3
27,14,38,3
14,1,38,3
28,12,19,3
29,10,20,3
30,8,21,3
31,6,22,3
33,7,24,3
34,9,25,3
35,11,26,3
36,13,27,3
29,20,39,3
30,21,40,3
31,22,41,3
33,24,42,3
2,32,43,3
34,25,44,3
35,26,45,3
18,28,46,3
14,18,47,3
19,29,48,3
29,39,48,3
23,33,49,3
33,42,49,3
20,30,50,3
21,31,51,3
20,50,39,3
24,34,52,3
25,35,53,3
26,36,54,3
36,27,55,3
28,19,56,3
19,48,56,3
55,27,57,3
27,38,57,3
54,36,55,3
50,30,40,3
53,35,45,3
51,31,41,3
46,28,56,3
45,26,54,3
44,25,53,3
42,24,52,3
41,22,58,3
22,37,58,3
40,21,51,3
52,34,44,3
53,45,59,3
52,44,60,3
46,56,61,3
39,50,62,3
40,51,63,3
42,52,64,3
52,60,64,3
51,41,65,3
63,51,65,3
41,58,65,3
44,53,66,3
60,44,66,3
53,59,66,3
18,46,67,3
50,40,68,3
62,50,68,3
40,63,68,3
45,54,69,3
59,45,69,3
54,55,69,3
23,49,70,3
56,48,71,3
61,56,71,3
48,39,71,3
57,38,72,3
49,42,64,3
47,18,67,3
32,23,70,3
72,38,73,3
38,1,73,3
70,49,74,3
47,67,75,3
32,70,76,3
73,1,77,3
67,46,78,3
46,61,78,3
47,75,77,3
32,76,79,3
47,77,1,3
32,79,43,3
77,75,80,3
77,80,81,3
77,81,73,3
73,81,82,3
73,82,72,3
81,80,83,3
80,75,84,3
72,82,85,3
82,81,86,3
39,62,71,3
72,85,87,3
83,80,88,3
80,84,88,3
65,58,89,3
72,87,57,3
81,83,86,3
55,57,90,3
49,64,74,3
76,70,74,3
37,2,43,3
55,90,69,3
85,82,91,3
89,58,92,3
57,87,90,3
92,58,37,3
91,82,86,3
89,92,93,3
75,67,94,3
67,78,94,3
92,37,95,3
95,37,43,3
95,43,96,3
92,95,97,3
96,43,79,3
96,79,98,3
79,76,98,3
97,95,99,3
95,96,99,3
92,97,93,3
99,96,100,3
75,94,84,3
100,96,98,3
1,14,47,3
63,65,101,3
65,89,101,3
87,85,102,3
59,69,103,3
69,90,103,3
90,87,104,3
103,90,104,3
87,102,104,3
97,99,105,3
78,61,106,3
61,71,107,3
106,61,107,3
71,62,107,3
74,64,108,3
100,98,109,3
86,83,110,3
93,97,111,3
97,105,111,3
94,78,112,3
78,106,112,3
64,60,113,3
108,64,113,3
60,66,113,3
85,91,102,3
98,76,114,3
91,86,115,3
76,74,116,3
98,114,109,3
116,74,108,3
114,76,116,3
114,116,117,3
105,99,118,3
99,100,118,3
94,112,84,3
115,86,110,3
68,63,119,3
63,101,119,3
62,68,120,3
107,62,120,3
68,119,120,3
110,83,121,3
83,88,121,3
101,89,122,3
89,93,122,3
118,100,123,3
100,109,123,3
66,59,124,3
113,66,124,3
59,103,124,3
91,115,125,3
114,117,109,3
102,91,125,3
122,93,126,3
93,111,126,3
106,107,127,3
107,120,127,3
116,108,128,3
88,84,129,3
115,110,130,3
84,112,129,3
111,105,131,3
112,106,132,3
106,127,132,3
125,115,123,3
117,116,128,3
102,125,128,3
102,128,133,3
104,102,133,3
128,108,133,3
112,132,129,3
133,108,113,3
126,132,122,3
101,122,127,3
103,104,133,3
129,126,134,3
88,129,134,3
126,111,134,3
123,109,125,3
121,88,134,3
131,105,130,3
117,128,125,3
109,117,125,3
134,111,131,3
103,133,124,3
113,124,133,3
115,130,123,3
121,134,131,3
130,110,131,3
118,123,130,3
105,118,130,3
120,119,127,3
101,127,119,3
110,121,131,3
127,122,132,3
126,129,132,3
