f finf
1000 2.4399791e-09
1799.5992 7.9010902e-09
2599.1984 1.6478502e-08
3398.7976 2.8166824e-08
4198.3968 4.2962548e-08
4997.996 6.0856085e-08
5797.5952 8.1847557e-08
6597.1944 1.0591634e-07
7396.7936 1.3305839e-07
8196.3928 1.6325506e-07
8995.992 1.965e-07
9795.5912 2.3278012e-07
10595.19 2.7207454e-07
11394.79 3.1435962e-07
12194.389 3.5962352e-07
12993.988 4.0784789e-07
13793.587 4.5900037e-07
14593.186 5.1306663e-07
15392.786 5.7001446e-07
16192.385 6.2984291e-07
16991.984 6.9249285e-07
17791.583 7.5796007e-07
18591.182 8.261665e-07
19390.782 8.9711629e-07
20190.381 9.7083096e-07
20989.98 1.0472429e-06
21789.579 1.126294e-06
22589.178 1.2079494e-06
23388.778 1.2921749e-06
24188.377 1.3789331e-06
24987.976 1.4681778e-06
25787.575 1.559894e-06
26587.174 1.6540102e-06
27386.774 1.7505031e-06
28186.373 1.8493414e-06
28985.972 1.9504909e-06
29785.571 2.0539057e-06
30585.17 2.159537e-06
31384.77 2.2673407e-06
32184.369 2.3772543e-06
32983.968 2.4892456e-06
33783.567 2.6032438e-06
34583.166 2.7191761e-06
35382.766 2.8370587e-06
36182.365 2.9568083e-06
36981.964 3.0784058e-06
37781.563 3.2017877e-06
38581.162 3.3268983e-06
39380.762 3.4536874e-06
40180.361 3.5820926e-06
40979.96 3.7120604e-06
41779.559 3.8435019e-06
42579.158 3.9764529e-06
43378.758 4.1108332e-06
44178.357 4.2465706e-06
44977.956 4.3836396e-06
45777.555 4.5219227e-06
46577.154 4.6614224e-06
47376.754 4.8020828e-06
48176.353 4.9438434e-06
48975.952 5.0866372e-06
49775.551 5.2304112e-06
50575.15 5.3751662e-06
51374.749 5.5207818e-06
52174.349 5.6671871e-06
52973.948 5.8143709e-06
53773.547 5.9622761e-06
54573.146 6.110865e-06
55372.745 6.2600687e-06
56172.345 6.4098457e-06
56971.944 6.5601359e-06
57771.543 6.7108577e-06
58571.142 6.8619939e-06
59370.741 7.0134833e-06
60170.341 7.1652638e-06
60969.94 7.3173507e-06
61769.539 7.469636e-06
62569.138 7.6220865e-06
63368.737 7.7746644e-06
64168.337 7.9272933e-06
64967.936 8.0799121e-06
65767.535 8.2325341e-06
66567.134 8.3850777e-06
67366.733 8.5374552e-06
68166.333 8.6897239e-06
68965.932 8.8417471e-06
69765.531 8.9935718e-06
70565.13 9.1450819e-06
71364.729 9.2962549e-06
72164.329 9.4470349e-06
72963.928 9.5974192e-06
73763.527 9.7473706e-06
74563.126 9.8968218e-06
75362.725 1.0045722e-05
76162.325 1.0194102e-05
76961.924 1.0341854e-05
77761.523 1.0488978e-05
78561.122 1.0635505e-05
79360.721 1.0781257e-05
80160.321 1.0926277e-05
80959.92 1.1070595e-05
81759.519 1.1214052e-05
82559.118 1.1356728e-05
83358.717 1.149856e-05
84158.317 1.1639536e-05
84957.916 1.1779557e-05
85757.515 1.191877e-05
86557.114 1.2056963e-05
87356.713 1.2194221e-05
88156.313 1.2330475e-05
88955.912 1.2465746e-05
89755.511 1.2599966e-05
90555.11 1.2733159e-05
91354.709 1.2865332e-05
92154.309 1.2996332e-05
92953.908 1.3126219e-05
93753.507 1.3255012e-05
94553.106 1.3382747e-05
95352.705 1.3509359e-05
96152.305 1.363467e-05
96951.904 1.3758856e-05
97751.503 1.3881913e-05
98551.102 1.4003785e-05
99350.701 1.4124539e-05
100150.3 1.4243924e-05
